14:53:03.373 [main] INFO  c.j.j.JournalapplicationApplication - Starting JournalapplicationApplication using Java 17.0.12 on Inventrax168 with PID 15104 (C:\Users\Pandit.P\IdeaProjects\SpringBoot-project\journalapplication\target\classes started by Pandit.P in C:\Users\Pandit.P\IdeaProjects\SpringBoot-project)
14:53:15.501 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-srv-cluster0.xbfvqsk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017 to client view of cluster
14:53:15.650 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-srv-cluster0.xbfvqsk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017 to client view of cluster
14:53:15.793 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-srv-cluster0.xbfvqsk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017 to client view of cluster
14:53:16.037 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@4f1afe8f from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
14:53:17.465 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:14215}] to ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:53:17.465 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:17466}] to ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017
14:53:17.467 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=711953100, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=684353bfd1dbd19de5a60f46, counter=3}, lastWriteDate=Sat Jun 07 14:54:56 IST 2025, lastUpdateTimeNanos=98824871562700}
14:53:17.467 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=700314400, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=68434de2d2830db76a98443a, counter=4}, lastWriteDate=Sat Jun 07 14:54:56 IST 2025, lastUpdateTimeNanos=98824870065400}
14:53:17.466 [cluster-rtt-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:14215}] to ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:53:17.468 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:17711}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:53:17.469 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=701057400, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000034, setVersion=7, topologyVersion=TopologyVersion{processId=684350a180637c50588a1b3c, counter=6}, lastWriteDate=Sat Jun 07 14:54:56 IST 2025, lastUpdateTimeNanos=98824870390900}
14:53:17.468 [cluster-rtt-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:17711}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:53:17.483 [cluster-rtt-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:17466}] to ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017
14:53:17.530 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=711953100, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=684353bfd1dbd19de5a60f46, counter=3}, lastWriteDate=Sat Jun 07 14:54:56 IST 2025, lastUpdateTimeNanos=98824871562700}, ServerDescription{address=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
14:53:17.528 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000034 from replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:53:17.539 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 7 from replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:53:17.540 [cluster-ClusterId{value='6844050245d7dd6e47d272c8', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:53:17.919 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:17710}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:53:19.381 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3dc82e6a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@54463380, org.springframework.security.web.context.SecurityContextPersistenceFilter@61a704d3, org.springframework.security.web.header.HeaderWriterFilter@750cd36d, org.springframework.security.web.authentication.logout.LogoutFilter@23b71d24, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7cc1f72c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@566fe83c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3f357c9d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@819fb19, org.springframework.security.web.session.SessionManagementFilter@22b82ddf, org.springframework.security.web.access.ExceptionTranslationFilter@3302035b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2026fbff]
14:53:20.684 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
14:53:20.832 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
14:53:20.859 [main] INFO  c.j.j.JournalapplicationApplication - Started JournalapplicationApplication in 19.855 seconds (JVM running for 23.625)
14:53:24.188 [http-nio-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:53:24.191 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:53:24.201 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
