14:57:05.142 [main] INFO  c.j.j.JournalapplicationApplication - Starting JournalapplicationApplication using Java 17.0.12 on Inventrax168 with PID 1800 (C:\Users\Pandit.P\IdeaProjects\SpringBoot-project\journalapplication\target\classes started by Pandit.P in C:\Users\Pandit.P\IdeaProjects\SpringBoot-project)
14:57:11.736 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-srv-cluster0.xbfvqsk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017 to client view of cluster
14:57:11.783 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-srv-cluster0.xbfvqsk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017 to client view of cluster
14:57:11.789 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-srv-cluster0.xbfvqsk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017 to client view of cluster
14:57:11.811 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@256a0d95 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
14:57:12.606 [cluster-rtt-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:12223}] to ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:57:12.607 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:12223}] to ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:57:12.607 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:12098}] to ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017
14:57:12.606 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:11437}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:57:12.607 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=417029800, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=6802b00e8e70f59a5e226cce, counter=4}, lastWriteDate=Sat Apr 19 14:57:29 IST 2025, lastUpdateTimeNanos=339048764222000}
14:57:12.607 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=416261800, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=6802b07bf8908e669a0914d4, counter=3}, lastWriteDate=Sat Apr 19 14:57:29 IST 2025, lastUpdateTimeNanos=339048763446200}
14:57:12.606 [cluster-rtt-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:11437}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:57:12.607 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=416802500, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000018, setVersion=1, topologyVersion=TopologyVersion{processId=6802b04474cf171d2c2ede8c, counter=6}, lastWriteDate=Sat Apr 19 14:57:29 IST 2025, lastUpdateTimeNanos=339048764033300}
14:57:12.607 [cluster-rtt-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:12098}] to ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017
14:57:12.616 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000018 from replica set primary ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:57:12.616 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 1 from replica set primary ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:57:12.616 [cluster-ClusterId{value='68036c6ef4421570f932a775', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:57:12.956 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:12175}] to ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:57:13.694 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5203c80f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@439f2d87, org.springframework.security.web.context.SecurityContextPersistenceFilter@2ad7bd26, org.springframework.security.web.header.HeaderWriterFilter@a056b26, org.springframework.security.web.authentication.logout.LogoutFilter@37d699a1, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@51424203, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69b3886f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@59e7564b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@721bf7ad, org.springframework.security.web.session.SessionManagementFilter@661e1399, org.springframework.security.web.access.ExceptionTranslationFilter@2a04ab05, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2bcda694]
14:57:14.336 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
14:57:14.394 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
14:57:14.412 [main] INFO  c.j.j.JournalapplicationApplication - Started JournalapplicationApplication in 10.266 seconds (JVM running for 11.652)
