15:49:18.726 [main] INFO  c.j.j.JournalapplicationApplication - Starting JournalapplicationApplication using Java 17.0.12 on Inventrax168 with PID 12664 (C:\Users\Pandit.P\IdeaProjects\SpringBoot-project\journalapplication\target\classes started by Pandit.P in C:\Users\Pandit.P\IdeaProjects\SpringBoot-project)
15:49:46.047 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@28393e82 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
15:49:50.211 [cluster-rtt-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:153416}] to ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
15:49:50.210 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:175175}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
15:49:50.208 [cluster-rtt-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:175175}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
15:49:50.217 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3524744300, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000034, setVersion=7, topologyVersion=TopologyVersion{processId=684350a180637c50588a1b3c, counter=6}, lastWriteDate=Thu Jun 12 15:51:16 IST 2025, lastUpdateTimeNanos=2499420304200}
15:49:50.209 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:157511}] to ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017
15:49:50.210 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:153416}] to ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
15:49:50.219 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3525469800, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=68434de2d2830db76a98443a, counter=4}, lastWriteDate=Thu Jun 12 15:51:16 IST 2025, lastUpdateTimeNanos=2499421064600}
15:49:50.209 [cluster-rtt-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:157511}] to ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017
15:49:50.219 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3527448800, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=684353bfd1dbd19de5a60f46, counter=3}, lastWriteDate=Thu Jun 12 15:51:16 IST 2025, lastUpdateTimeNanos=2499422954000}
15:49:50.235 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000034 from replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
15:49:50.237 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 7 from replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
15:49:50.238 [cluster-ClusterId{value='684aa9bd1498594130c5a92f', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
15:49:51.082 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:175177}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
15:49:55.699 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4217bce6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@aa752bb, org.springframework.security.web.context.SecurityContextPersistenceFilter@423f8a73, org.springframework.security.web.header.HeaderWriterFilter@1ab53860, org.springframework.security.web.authentication.logout.LogoutFilter@6537ac, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@48dff674, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@113dcaf8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5844a2d1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@77fc19cf, org.springframework.security.web.session.SessionManagementFilter@3f0ce0d1, org.springframework.security.web.access.ExceptionTranslationFilter@17176b18, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@372954e1]
15:49:58.208 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
15:49:58.463 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
15:49:58.526 [main] INFO  c.j.j.JournalapplicationApplication - Started JournalapplicationApplication in 48.324 seconds (JVM running for 58.177)
